Oil_price
41.34
40.41
38.86
37.34
36.77
35.60
35.97
35.63
31.40
30.65
30.95
30.92
30.95
30.94
30.19
29.00
28.89
28.51
28.62
29.68
21.78
14.40
12.84
14.95
18.29
19.26
19.99
19.13
16.99
16.82
15.24
15.04
18.35
19.69
18.47
20.31
21.17
17.40
26.05
34.24
22.75
20.20
21.38
22.12
19.16
21.23
21.37
20.57
19.70
19.65
18.02
16.60
15.19
17.34
17.97
17.71
18.00
19.34
17.51
18.19
20.12
21.20
22.07
25.39
22.84
19.57
20.13
20.24
15.66
14.30
13.56
12.40
12.17
16.26
21.00
25.08
28.36
28.26
31.79
31.63
28.17
28.55
26.71
20.91
22.10
26.19
28.03
28.57
34.45
29.12
30.21
31.45
34.94
38.02
44.09
47.79
50.65
54.20
64.47
61.25
65.33
73.12
72.53
62.57
62.06
73.76
79.82
94.52
102.66
130.46
119.69
58.22
49.67
63.93
72.46
78.45
80.52
80.56
80.60
90.20
109.34
122.41
118.27
116.75
124.10
113.73
112.14
114.65
117.41
107.52
113.15
112.06
109.95
112.30
103.41
75.73
54.53
61.53
51.74
54.73
41.15
51.05
49.52
54.21
54.58
51.10
54.02
63.61
69.78
79.38
69.23
68.03
